video_id,Author,Comment,published_at,likes,Topic
sHo9DjcF7-8,@משהעבדי-צ1מ,כל אדם מישראל צמוד משעות הבוקר למקורות מידע מתעדכן בחדשות מחליף רשמים עם משפחה שכנים וחברים הרבה דאגה באוויר פתאום אנחנו במלחמה היה לנו פספוס ביטחוני גדול זה ברור הפספוס התבטא בחוסר הערכה אופייני לנו של האויבים שלנו ובאי מוכנות צבאית צורבת קדם לזה פספוס גדול הרבה יותר מדובר במה שקורה בתוך העם שלנו בחודשים האחרונים בצורה כל כך מכוערת שקשה להתעלם ממנה ובעצם זה קורה בינינו כבר שבעים וחמש שנים ועוד כמה מאות ואלפי שנים שקדמו להן כמו היום אנחנו מצליחים לפספס את הנקודה כבר דורות על גבי דורות בגלל הגאווה שמתרוממת בינינו עם ישראל נוסד על הכלל ואהבת לרעך כמוך לכן הוא נוחל מפלה והשפלה כל פעם שהוא הולך בכיוון ההפוך לשנאה הדדית בינינו את זה פספסנו בגדול איך יכולנו לחשוב שיקרה אחרת יותר ויותר מתאספים ומצטברים בינינו גרעינים של שנאה ושוב מלחמה ושוב וזה לא עוזב אותנו ולא יעזוב לתהלוכות השנאה בתל אביב לקללות והניסיון לפגוע זה בזה לא הייתה יכולה להיות תוצאה אחרת וכולנו אחראים לה אנחנו צריכים להבין שאנחנו מזינים ומזמינים את כל המלחמות עלינו רק אנחנו כמו שאמרו חז ל אין פורענות באה לעולם אלא בשביל ישראל הגאווה בינינו היא האסון הלאומי שלנו כמו שכתב שלמה המלך אל תתהלל ביום כי מחר לא תדע מה ילד יום ההתקפות עלינו יהיו קשות יותר מחר אם לא נכניס בינינו היום ענווה ונטייה צנועה ופשוטה לחיבור לבבי עיקר המגן בפני הפורענות הוא האהבה והאחדות וכאשר יש בישראל אהבה ואחדות ורעות בין זה לזה אין מקום לשום פורענות לחול עליהם ספר מאור ושמש רק ביחסים בינינו תלוי הכול רק ביחסים בינינו ואין לנו צורך בדאגה אחרת ולא פחד אלא רק מכך שלא נתאחד מעבר לזה אנחנו נמצאים בידיו של הכוח העליון אותו כוח שדורש את האחדות בינינו כך כתוב בכל מקורות ישראל כל אדם מישראל שצמוד לחדשות צריך לשאול את עצמו למה זה קורה לנו ואז לעשות כל מה שבידו למען אחדות ישראל,2025-12-22T11:42:12Z,0,Geopolitics
sHo9DjcF7-8,@מוטישלוסברג,כתבה מרשימה הישג היסטורי לעם היושב בציון מאת השם הייתה זאת,2025-12-17T11:06:18Z,2,Geopolitics
sHo9DjcF7-8,@zhenia1234,פרק מדהים כל הכבוד,2025-12-15T07:47:07Z,2,Geopolitics
sHo9DjcF7-8,@SivanMeyerC,אתם קורעים אותי מצחוק זאת ההוכחה שאין לכם טיפה של אסטרגיה נכונה אתם לא יודעים מה אתם עושים קיבלתם את ג׳ולאני כי תמיד תקבלו משהו אחר במקום לחזק את עצמכם אתם משמידים אחרים זה לא ייגמר כי לא יהיה לזה סוף הסוף שלכם יהיה הסוף וזאת ממישהי שמכירה אתכם מצויין בזמן שהייתם עסוקים עם איומים מדומים או כאילו מדומים או כמעט מדומים או כמעט בטוח מדומים חמאס השחיזו סכינים לחתוך לכם את הבולבולים והכוסים שלכם וזה מגיע לכם אידיוטים אתם לא יודעים מה זה איום וגם לא תבינו אתם האיום הכי גדול על עצמכם האידיוטיות שלכם הייתי צוחקת אבל זה בקושי מצחיק אותי באופן מדומה כזה כאילו אתם לא במצב לעבוד תתאבדו וגמרנו,2025-12-14T13:16:06Z,1,Geopolitics
sHo9DjcF7-8,@3hourses,איזה כותרת כמה אתוס,2025-12-13T03:43:58Z,1,Geopolitics
bC6YHl0Zb0w,@stand_up_israel,תעשו הרבה כבוד לבן בן ברוך המלך שמביא את הסטנדאפ המטורף הזה,2025-07-21T13:55:59Z,16,Humor
bC6YHl0Zb0w,@amitfifahdhd5345,גדול,2026-01-29T17:43:27Z,0,Humor
bC6YHl0Zb0w,@danielashori1937,ענקקקקקקקקקקקקק שבענקקקקים בכל נקי גאוני מדוייק כל כך מגיע לו להצליח אוהב אותך מאד מאד הומור מעולה,2025-12-03T09:58:57Z,2,Humor
bC6YHl0Zb0w,@אפרתאליהואמסטרדם,טוב איןןןן אין עוד אחד כמוךךךךך והכי כיייףףף שאתה הכי מצחיק והכי לשון נקיייה ה יברך אותךךךך,2025-11-08T19:22:15Z,3,Humor
bC6YHl0Zb0w,@איתןמנוס,אני מת,2025-10-29T17:49:14Z,1,Humor
bC6YHl0Zb0w,@ELEAZAR_CARDASH,מה קורה בן פליז תעלה את הקטע מהמופע שעשית בנתיבות בסוף המופע בקטע של ה שאלות מהקהל ששאלתי אותך האם רכבת פעם על סוסים פליז תעלה את זה,2025-10-28T19:22:09Z,1,Humor
bC6YHl0Zb0w,@יוסףחייםכהן-ד7ת,אין על בן בן בעולם,2025-09-15T07:21:20Z,1,Humor
bC6YHl0Zb0w,@eyloncr7,אוף זה מעצבן שהוא תמיד חוזר על הקטע אם ארוחת שישי,2025-08-03T20:55:29Z,2,Humor
bC6YHl0Zb0w,@999.9finegold,אם אפילו פעם אחת הקשבת לאשתך והתנצלת בפני הילדה הרסת לילדה את החיים מבחינתה אין לה אבא יותר אל תשחקו בנפש של הילדים שלכם זה מצחיק עכשיו זה עצוב אחר כך,2025-07-28T18:56:20Z,4,Humor
bC6YHl0Zb0w,@עמיתאבידן-ג1ז,אלוף,2025-07-27T20:22:54Z,4,Humor
BoN-fwzyIu8,@YakirIT,שמחתי לעזור עם התסריט לכל מי שמעוניין מוזמנים לראות אצלנו את עונה של ג וג וטסו קאיזן מתורגמת לעברית באנימה אייאל טיוי,2026-01-13T15:33:24Z,19,Pop Culture
BoN-fwzyIu8,@102TheWitcher,וואו תודה רבה תוכן מדהים העונה הזו כל כךךך מתסבכת שאני מודה שיש ערוץ כזה,2026-01-26T09:37:52Z,0,Pop Culture
BoN-fwzyIu8,@BIackCherry,עוד עוד,2026-01-24T22:55:27Z,0,Pop Culture
BoN-fwzyIu8,@דניתקצב-י5ש,תקשיב ימלך הזרתה לי להבין כל כך הרבה,2026-01-21T15:42:03Z,0,Pop Culture
BoN-fwzyIu8,@yotamde8350,תותח,2026-01-20T22:59:11Z,0,Pop Culture
BoN-fwzyIu8,@Cryptomaniac888,תודה על הסרטון אחלה הסבר,2026-01-20T10:51:18Z,0,Pop Culture
BoN-fwzyIu8,@swagadigi1234,אלוףףף,2026-01-20T10:06:25Z,0,Pop Culture
BoN-fwzyIu8,@חייםיהב-ש9ט,אחלה פורמטטטט ממש כיףכיףכיף,2026-01-19T23:35:26Z,1,Pop Culture
BoN-fwzyIu8,@ilaigamer8132,אתה הערוץ האהוב עליי אל תפסיק לרגע,2026-01-19T18:35:07Z,0,Pop Culture
BoN-fwzyIu8,@itay939-s6p,סרטון מטורף רציתי לשאול אם תוכל להסביר על פרק הוא היה יותר מסובך תודה,2026-01-19T18:13:47Z,1,Pop Culture
aPaVwCGE2_o,@TheChaimninja,צביקה,2026-01-23T14:07:04Z,0,Ecology
aPaVwCGE2_o,@אקלגם,תיקרה לו צביי,2026-01-02T18:54:49Z,0,Ecology
aPaVwCGE2_o,@שריתשטרית,יש לך אומץ,2026-01-01T17:45:54Z,0,Ecology
aPaVwCGE2_o,@יניבשחר-ע2ח,השם לצב קאטר,2025-12-24T00:34:13Z,0,Ecology
aPaVwCGE2_o,@adi9977,תקרה לצב צב חמודי,2025-12-18T19:26:50Z,0,Ecology
aPaVwCGE2_o,@rikishilko3414,תקרא לצב צביקההההה,2025-12-15T17:08:05Z,0,Ecology
aPaVwCGE2_o,@noamsofer-kp2ys,מיכלאנג לו לשם של הצבא,2025-12-14T22:23:13Z,0,Ecology
aPaVwCGE2_o,@odeyamoyal,אני ידעתי שלכוח מים בורמזי יש לשון כחולה,2025-12-12T06:41:22Z,0,Ecology
aPaVwCGE2_o,@odeyamoyal,למה הפיתון הזה רטוב,2025-12-12T06:37:20Z,0,Ecology
aPaVwCGE2_o,@odeyamoyal,אני יודעת שככול שהצבטות יותר קטנות אז העקרב יותר מסוכן,2025-12-12T06:30:00Z,0,Ecology
oFKMU0JtMm0,@סוניהספיווק,תודה,2025-11-08T12:44:32Z,0,Gastronomy
oFKMU0JtMm0,@רותיקרילקר,מה אפשר לשין במקום קוסקוס לצליאקים,2024-01-07T14:41:08Z,0,Gastronomy
